prospect_id,display_name,contact_name,company_name,county,city,utility,property_type,sqft,assessed_value,estimated_system_kw,estimated_annual_kwh,est_monthly_bill,latitude,longitude,stage,sales_temperature,assigned_rep,lead_source,last_contact_days,created_date,roof_confidence,fit_notes,solar_fit_score,close_probability,estimated_annual_savings,priority_rank
11,Ethan Bennett,Ethan Bennett,,Benton,West Richland,Benton PUD,Residential,3592,739948,11.5,16716,156.5,46.320539,-119.262558,Negotiation,Cold,Atlas Admin,Campaign,2,2025-11-23,High,Strong ownership profile and above-median assessed value.,55.8,0.49,1366.0,63
12,Sun Ridge Metal Works,Daniel Howard,Sun Ridge Metal Works,Grant,Moses Lake,Grant PUD,Commercial,24590,1451121,167.8,243369,1589.43,47.140124,-119.052053,New Lead,Cold,Unassigned,Referral,4,2025-08-25,Medium,Good ag load profile. Storage could be future upsell.,97.0,0.41,11958.0,3
13,Sun Ridge Metal Works,Noah Walker,Sun Ridge Metal Works,Walla Walla,Walla Walla,Pacific Power,Commercial,40346,1705685,371.1,538146,4462.6,46.211448,-118.237159,New Lead,Cold,Atlas Sales,Public Parcel,5,2026-02-15,Low,Good ag load profile. Storage could be future upsell.,97.0,0.41,30091.0,3
14,Elena Howard,Elena Howard,,Yakima,Grandview,Pacific Power,Residential,3009,818478,10.0,14449,199.32,46.721392,-120.434601,Site Review Scheduled,Cold,Atlas Admin,Public Parcel,22,2026-01-17,Medium,Promising commercial consumption profile.,61.2,0.47,1746.0,48
15,Sun Ridge Market,Sarah Taylor,Sun Ridge Market,Yakima,Toppenish,Pacific Power,Industrial,30257,8665869,238.6,345985,2905.48,46.725351,-120.30615,Proposal Sent,Cold,Unassigned,Public Parcel,30,2026-01-13,Medium,Promising commercial consumption profile.,94.0,0.76,26863.0,5
16,Jorge Cooper,Jorge Cooper,,Walla Walla,Walla Walla,Columbia REA,Residential,3903,442511,16.6,24000,278.78,45.99845,-118.176321,New Lead,Warm,Unassigned,Business List,16,2026-02-13,High,High-value roofline and strong bill-reduction angle.,75.0,0.32,2379.0,20
17,Daniel Rivera,Daniel Rivera,,Yakima,Yakima,Yakima Valley Utility,Residential,3561,439312,11.1,16041,211.02,46.70266,-120.602788,Contact Made,Warm,Unassigned,Campaign,20,2026-01-26,High,Good ag load profile. Storage could be future upsell.,70.5,0.39,1739.0,24
18,Noah Howard,Noah Howard,,Adams,Ritzville,Adams County PUD,Residential,1985,680869,8.4,12231,114.61,46.935093,-118.610952,Qualified,Cold,Unassigned,Business List,32,2025-12-28,Low,Promising commercial consumption profile.,44.3,0.3,1001.0,88
19,Sarah Ortiz,Sarah Ortiz,,Yakima,Grandview,Pacific Power,Residential,2162,565498,6.8,9872,115.03,46.608899,-120.436771,Contact Made,Warm,Atlas Admin,Walk-In,15,2025-12-15,Medium,High-value roofline and strong bill-reduction angle.,57.2,0.32,1092.0,59
20,Anna Taylor,Anna Taylor,,Benton,Prosser,City Utility,Residential,2220,367253,9.6,13991,198.45,46.408205,-119.430703,Qualified,Hot,Unassigned,Walk-In,10,2025-12-01,Low,Strong ownership profile and above-median assessed value.,57.2,0.39,1476.0,59
21,Anna Walker,Anna Walker,,Franklin,Mesa,Pacific Power,Residential,2179,527936,7.7,11185,131.85,46.38914,-119.216398,Negotiation,Cold,Atlas Sales,Campaign,29,2026-01-26,Low,High-value roofline and strong bill-reduction angle.,43.5,0.38,959.0,90
22,Columbia Warehouse,Jorge Mendoza,Columbia Warehouse,Walla Walla,Walla Walla,Columbia REA,Agricultural,53174,5209240,431.8,626088,5188.23,46.01597,-118.202706,Won,Cold,Unassigned,Walk-In,1,2025-12-30,Low,Good ag load profile. Storage could be future upsell.,99.0,0.98,45486.0,1
23,Columbia Farms,Jorge Lopez,Columbia Farms,Walla Walla,Walla Walla,Columbia REA,Industrial,80008,1126210,611.7,886936,7292.24,46.16324,-118.165937,New Lead,Cold,Atlas Sales,Walk-In,16,2025-09-20,High,Strong ownership profile and above-median assessed value.,92.3,0.39,48587.0,7
24,Tri-City Cold Storage,James Ortiz,Tri-City Cold Storage,Grant,Moses Lake,Grant PUD,Commercial,6638,3613483,43.2,62605,441.01,46.933018,-119.043102,New Lead,Hot,Unassigned,Public Parcel,10,2025-10-19,Medium,High-value roofline and strong bill-reduction angle.,99.0,0.42,3738.0,1
25,Maria Lopez,Maria Lopez,,Yakima,Toppenish,Pacific Power,Residential,4128,447963,13.6,19712,230.74,46.635451,-120.293726,Negotiation,Warm,Atlas Admin,Public Parcel,32,2026-01-16,Medium,High-value roofline and strong bill-reduction angle.,74.9,0.66,2158.0,21
26,Yakima Valley Processing,Elena Bennett,Yakima Valley Processing,Walla Walla,College Place,Columbia REA,Commercial,32540,1188771,242.1,351082,2940.49,45.891037,-118.10339,Qualified,Cold,Atlas Sales,Campaign,24,2025-11-26,Medium,High-value roofline and strong bill-reduction angle.,96.7,0.66,24117.0,4
27,Ethan Rivera,Ethan Rivera,,Yakima,Grandview,Pacific Power,Residential,3641,529688,11.9,17226,206.92,46.46211,-120.655598,Contact Made,Warm,Unassigned,Walk-In,15,2026-02-23,Medium,Likely better fit after direct site review.,72.4,0.41,1613.0,23
28,Daniel Sanchez,Daniel Sanchez,,Grant,Quincy,Grant PUD,Residential,3058,524076,10.2,14757,123.13,47.143706,-119.316838,New Lead,Warm,Unassigned,Campaign,18,2025-10-08,High,Promising commercial consumption profile.,59.9,0.25,931.0,51
29,Daniel Mitchell,Daniel Mitchell,,Yakima,Sunnyside,Pacific Power,Residential,1423,820238,6.1,8854,140.74,46.461054,-120.758543,New Lead,Cold,Unassigned,Walk-In,7,2025-09-12,High,Strong ownership profile and above-median assessed value.,49.1,0.21,1153.0,79
30,Harvest Market,Sarah Walker,Harvest Market,Grant,Moses Lake,Grant PUD,Commercial,23912,807274,208.7,302586,1934.65,47.187056,-119.510223,Won,Cold,Unassigned,Business List,13,2026-03-26,Medium,High-value roofline and strong bill-reduction angle.,87.8,0.88,13753.0,9
31,Daniel Rivera,Daniel Rivera,,Franklin,Connell,Franklin PUD,Residential,3632,732738,13.2,19169,156.75,46.262477,-119.279203,Negotiation,Cold,Atlas Sales,Walk-In,7,2026-03-01,Medium,Promising commercial consumption profile.,55.7,0.49,1496.0,64
32,Anna Walker,Anna Walker,,Franklin,Connell,Pacific Power,Residential,3531,542630,15.5,22455,248.26,46.05102,-119.27432,Won,Warm,Unassigned,Public Parcel,5,2026-02-15,Medium,Likely better fit after direct site review.,76.3,0.76,2111.0,17
33,Ethan Diaz,Ethan Diaz,,Benton,West Richland,City Utility,Residential,1917,733355,9.2,13368,139.33,46.505512,-119.194914,Qualified,Warm,Unassigned,Business List,21,2025-09-13,Low,Strong ownership profile and above-median assessed value.,63.4,0.43,1050.0,41
34,Maria Howard,Maria Howard,,Walla Walla,College Place,Pacific Power,Residential,2233,578977,9.7,14014,168.8,46.202569,-118.31695,Contact Attempted,Cold,Unassigned,Business List,18,2025-12-01,Low,Strong ownership profile and above-median assessed value.,49.5,0.24,1180.0,78
35,Jorge Walker,Jorge Walker,,Adams,Othello,Adams County PUD,Residential,1256,819077,6.2,9017,135.52,47.023304,-118.695765,Contact Made,Cold,Unassigned,Walk-In,30,2025-09-19,Medium,Strong ownership profile and above-median assessed value.,48.0,0.27,1136.0,81
36,Yakima Valley Cold Storage,Rachel Bennett,Yakima Valley Cold Storage,Walla Walla,Walla Walla,Columbia REA,Agricultural,21104,3860789,168.6,244434,2070.32,45.928469,-118.291324,Qualified,Warm,Unassigned,Walk-In,20,2026-01-14,Medium,Promising commercial consumption profile.,99.0,0.67,17500.0,1
37,Sun Ridge Vineyards,Noah Diaz,Sun Ridge Vineyards,Franklin,Connell,Franklin PUD,Commercial,28984,2069331,175.1,253827,1669.1,46.396246,-119.146997,Contact Attempted,Cold,Unassigned,Business List,4,2025-09-10,Low,Good ag load profile. Storage could be future upsell.,97.0,0.47,12847.0,3
38,Riverbend Processing,Jorge Cooper,Riverbend Processing,Adams,Ritzville,Adams County PUD,Agricultural,59317,4856348,442.7,641941,4045.86,46.930293,-118.778436,Site Review Scheduled,Cold,Atlas Sales,Walk-In,10,2026-03-26,Medium,High-value roofline and strong bill-reduction angle.,99.0,0.75,27306.0,1
39,Noah Taylor,Noah Taylor,,Benton,Kennewick,Benton PUD,Residential,2887,833418,9.9,14356,148.56,46.194782,-119.349583,Contact Attempted,Warm,Unassigned,Public Parcel,29,2025-11-01,Medium,Likely better fit after direct site review.,69.8,0.34,1057.0,27
40,Anna Sanchez,Anna Sanchez,,Walla Walla,College Place,Pacific Power,Residential,2937,502246,14.6,21141,247.82,46.260504,-118.089421,New Lead,Cold,Unassigned,Referral,0,2026-01-09,High,Likely better fit after direct site review.,58.5,0.25,2234.0,54
41,Daniel Diaz,Daniel Diaz,,Yakima,Grandview,Pacific Power,Residential,1978,891051,8.5,12256,178.62,46.723426,-120.646238,Qualified,Cold,Unassigned,Walk-In,11,2025-10-11,Medium,Promising commercial consumption profile.,57.2,0.39,1634.0,59
42,Elena Cooper,Elena Cooper,,Yakima,Sunnyside,Pacific Power,Residential,3173,549478,12.6,18291,172.42,46.615675,-120.290887,Proposal Sent,Cold,Unassigned,Walk-In,0,2026-03-28,Medium,Likely better fit after direct site review.,52.1,0.42,1207.0,75
43,Riverbend Cold Storage,Noah Ortiz,Riverbend Cold Storage,Yakima,Toppenish,Yakima Valley Utility,Commercial,28344,904436,263.7,382404,3155.8,46.678144,-120.416283,New Lead,Warm,Unassigned,Walk-In,7,2026-02-02,High,Promising commercial consumption profile.,99.0,0.42,29900.0,1
44,Sun Ridge Market,Isabel Mitchell,Sun Ridge Market,Franklin,Mesa,Franklin PUD,Commercial,39402,2207945,353.3,512311,3261.19,46.190604,-119.167674,Won,Cold,Unassigned,Referral,34,2025-10-27,Medium,High-value roofline and strong bill-reduction angle.,97.0,0.97,25731.0,3
45,Noah Lopez,Noah Lopez,,Franklin,Connell,Franklin PUD,Residential,2068,912875,6.6,9588,100.27,46.445611,-118.867114,Lost,Warm,Atlas Sales,Referral,9,2026-02-20,High,Good ag load profile. Storage could be future upsell.,63.1,0.03,941.0,43
46,James Cooper,James Cooper,,Franklin,Pasco,Franklin PUD,Residential,1305,378205,5.5,7947,68.73,46.454112,-119.079688,New Lead,Cold,Unassigned,Public Parcel,28,2025-11-20,Medium,Likely better fit after direct site review.,29.4,0.12,463.0,98
47,Jorge Diaz,Jorge Diaz,,Adams,Othello,Adams County PUD,Residential,3161,661126,12.7,18409,194.01,46.984839,-118.582018,New Lead,Cold,Unassigned,Walk-In,33,2026-01-27,Medium,Strong ownership profile and above-median assessed value.,57.4,0.24,1598.0,58
48,Rachel Mendoza,Rachel Mendoza,,Walla Walla,Walla Walla,Columbia REA,Residential,2135,673914,8.3,12005,122.41,45.888239,-118.238075,Contact Made,Warm,Unassigned,Walk-In,6,2026-03-28,Medium,Promising commercial consumption profile.,60.6,0.34,1029.0,49
49,Elena Rivera,Elena Rivera,,Grant,Moses Lake,Grant PUD,Residential,3925,683481,16.6,24000,191.56,47.331015,-119.246025,Qualified,Cold,Unassigned,Referral,14,2025-10-07,Low,Likely better fit after direct site review.,59.9,0.41,1869.0,51
50,James Taylor,James Taylor,,Grant,Moses Lake,Grant PUD,Residential,3894,520439,16.6,24000,188.7,47.180072,-119.203896,Contact Attempted,Cold,Unassigned,Public Parcel,33,2026-04-13,Medium,Strong ownership profile and above-median assessed value.,55.6,0.27,1502.0,65
51,Sun Ridge Logistics,Maria Rivera,Sun Ridge Logistics,Yakima,Grandview,Pacific Power,Commercial,41197,2950743,342.2,496169,4088.28,46.45136,-120.603849,Site Review Scheduled,Warm,Unassigned,Campaign,31,2026-02-07,Medium,High-value roofline and strong bill-reduction angle.,99.0,0.75,29904.0,1
52,Columbia Vineyards,Rachel Walker,Columbia Vineyards,Grant,Moses Lake,Grant PUD,Commercial,20745,1664029,129.5,187829,1217.41,46.934204,-119.4318,Site Review Scheduled,Warm,Unassigned,Walk-In,4,2026-04-16,Medium,Likely better fit after direct site review.,99.0,0.75,9728.0,1
53,Isabel Mendoza,Isabel Mendoza,,Walla Walla,Walla Walla,Columbia REA,Residential,2530,420222,8.3,11987,172.47,46.15678,-118.385799,New Lead,Warm,Unassigned,Public Parcel,32,2026-03-08,High,Likely better fit after direct site review.,62.1,0.26,1423.0,45
54,Sarah Taylor,Sarah Taylor,,Yakima,Sunnyside,Pacific Power,Residential,1799,508402,8.1,11788,158.19,46.536584,-120.267624,New Lead,Warm,Unassigned,Campaign,20,2025-11-27,Medium,Promising commercial consumption profile.,60.2,0.25,1269.0,50
55,Maria Sanchez,Maria Sanchez,,Walla Walla,College Place,Columbia REA,Residential,2641,771981,10.4,15107,145.19,46.039172,-118.445533,Negotiation,Cold,Unassigned,Public Parcel,28,2025-11-30,Medium,Good ag load profile. Storage could be future upsell.,52.2,0.46,1243.0,74
56,Sun Ridge Cold Storage,Maria Bennett,Sun Ridge Cold Storage,Grant,Moses Lake,Grant PUD,Commercial,26507,3446056,223.9,324598,2113.13,46.976479,-119.505926,Contact Made,Warm,Unassigned,Referral,4,2026-04-07,Medium,High-value roofline and strong bill-reduction angle.,99.0,0.55,17767.0,1
57,Rachel Sanchez,Rachel Sanchez,,Walla Walla,Walla Walla,Columbia REA,Residential,3586,388298,12.0,17386,207.48,45.969625,-118.226658,New Lead,Warm,Unassigned,Campaign,5,2025-10-27,Low,Likely better fit after direct site review.,69.0,0.29,1613.0,29
58,Sun Ridge Farms,Sarah Taylor,Sun Ridge Farms,Yakima,Grandview,Yakima Valley Utility,Industrial,73736,2510656,852.1,1235478,10114.51,46.518001,-120.271292,Proposal Sent,Warm,Unassigned,Business List,10,2026-01-14,Medium,Likely better fit after direct site review.,99.0,0.8,93269.0,1
59,Riverbend Auto Center,Isabel Sanchez,Riverbend Auto Center,Franklin,Connell,Franklin PUD,Commercial,19566,2313104,133.0,192858,1277.54,46.336921,-119.33788,Contact Made,Warm,Unassigned,Campaign,33,2026-01-13,Low,Promising commercial consumption profile.,99.0,0.55,11813.0,1
60,Blue Basin Metal Works,Elena Bennett,Blue Basin Metal Works,Grant,Quincy,Grant PUD,Agricultural,39342,1240585,321.3,465881,2948.03,46.970995,-119.408098,Won,Cold,Unassigned,Walk-In,3,2026-04-14,Low,Likely better fit after direct site review.,99.0,0.98,23029.0,1
61,Luis Taylor,Luis Taylor,,Walla Walla,Walla Walla,Pacific Power,Residential,1605,591577,5.8,8466,142.73,46.282191,-118.408045,Site Review Scheduled,Cold,Unassigned,Business List,35,2025-09-19,Low,High-value roofline and strong bill-reduction angle.,44.6,0.34,1301.0,87
62,Maria Walker,Maria Walker,,Franklin,Connell,Pacific Power,Residential,3751,719318,15.8,22923,206.31,46.152107,-119.33577,Contact Made,Cold,Atlas Sales,Public Parcel,33,2025-11-01,Medium,High-value roofline and strong bill-reduction angle.,62.0,0.35,1999.0,46
63,Noah Howard,Noah Howard,,Grant,Moses Lake,Grant PUD,Residential,3125,285649,11.2,16203,120.36,47.133324,-119.024168,Proposal Sent,Cold,Unassigned,Referral,34,2026-04-09,Medium,Promising commercial consumption profile.,39.2,0.32,1118.0,91
64,Yakima Valley Auto Center,Anna Rivera,Yakima Valley Auto Center,Adams,Othello,Adams County PUD,Commercial,8135,3453310,71.5,103694,725.44,46.959834,-118.458598,Contact Attempted,Cold,Unassigned,Referral,3,2026-02-06,Medium,Good ag load profile. Storage could be future upsell.,97.0,0.47,5080.0,3
65,Riverbend Warehouse,Luis Mendoza,Riverbend Warehouse,Yakima,Toppenish,Yakima Valley Utility,Agricultural,28339,3224045,236.6,343130,2868.94,46.574359,-120.557889,New Lead,Warm,Unassigned,Walk-In,27,2026-02-01,Medium,Strong ownership profile and above-median assessed value.,99.0,0.42,22203.0,1
66,Noah Diaz,Noah Diaz,,Benton,Prosser,City Utility,Residential,1434,318686,5.4,7860,135.86,46.385498,-119.070464,Site Review Scheduled,Hot,Atlas Sales,Referral,23,2025-10-03,Low,Likely better fit after direct site review.,45.9,0.35,911.0,85
67,Luis Bennett,Luis Bennett,,Franklin,Connell,Pacific Power,Residential,1514,841800,5.8,8440,130.45,46.318387,-118.867212,New Lead,Cold,Unassigned,Walk-In,13,2026-02-13,Medium,Strong ownership profile and above-median assessed value.,48.6,0.2,946.0,80
68,Noah Cooper,Noah Cooper,,Franklin,Mesa,Franklin PUD,Residential,1559,575112,6.4,9331,95.77,46.394844,-119.125538,Contact Attempted,Cold,Unassigned,Business List,15,2026-02-28,Low,High-value roofline and strong bill-reduction angle.,38.2,0.18,744.0,92
69,Daniel Howard,Daniel Howard,,Grant,Moses Lake,Grant PUD,Residential,1553,308941,6.3,9193,126.99,47.072421,-119.120196,Proposal Sent,Cold,Unassigned,Campaign,11,2025-09-08,Medium,Strong ownership profile and above-median assessed value.,35.9,0.29,1045.0,95
70,Rachel Bennett,Rachel Bennett,,Benton,West Richland,City Utility,Residential,2521,476422,11.8,17103,174.47,46.431512,-119.275087,Qualified,Warm,Atlas Admin,Business List,10,2025-11-23,Medium,Likely better fit after direct site review.,63.7,0.43,1175.0,40
71,Columbia Vineyards,Isabel Diaz,Columbia Vineyards,Benton,West Richland,City Utility,Commercial,41495,2197291,339.2,491776,4054.41,46.101438,-119.051256,New Lead,Warm,Unassigned,Business List,21,2025-12-23,Medium,Good ag load profile. Storage could be future upsell.,99.0,0.42,38076.0,1
72,Ethan Walker,Ethan Walker,,Yakima,Toppenish,Yakima Valley Utility,Residential,2717,779995,9.7,14000,140.54,46.705148,-120.318296,Contact Made,Cold,Atlas Admin,Business List,20,2025-09-02,Medium,Promising commercial consumption profile.,52.1,0.29,1275.0,75
73,Ethan Mendoza,Ethan Mendoza,,Walla Walla,College Place,Pacific Power,Residential,1568,652344,5.5,7967,106.71,46.282827,-118.360256,New Lead,Warm,Unassigned,Business List,16,2025-12-31,Medium,Strong ownership profile and above-median assessed value.,56.4,0.24,831.0,62
74,Ethan Mendoza,Ethan Mendoza,,Walla Walla,College Place,Columbia REA,Residential,1501,645116,7.0,10099,142.23,45.867109,-118.310855,Qualified,Cold,Atlas Admin,Business List,32,2026-03-15,Low,Likely better fit after direct site review.,45.5,0.31,957.0,86
75,Ethan Taylor,Ethan Taylor,,Benton,Prosser,City Utility,Residential,1810,875710,8.8,12697,143.03,46.125996,-119.371319,Contact Attempted,Warm,Unassigned,Referral,30,2025-11-27,High,Good ag load profile. Storage could be future upsell.,66.9,0.32,1098.0,33
76,Isabel Ortiz,Isabel Ortiz,,Benton,Richland,Benton PUD,Residential,2287,846574,9.6,13895,116.27,46.496855,-119.240975,Qualified,Warm,Unassigned,Business List,1,2026-03-23,Low,Good ag load profile. Storage could be future upsell.,64.3,0.44,925.0,39
77,Harvest Auto Center,Elena Taylor,Harvest Auto Center,Walla Walla,College Place,Columbia REA,Agricultural,51223,902453,476.4,690837,5691.89,46.14842,-118.389604,Contact Attempted,Hot,Unassigned,Referral,30,2025-10-28,Medium,Promising commercial consumption profile.,99.0,0.48,42712.0,1
78,Frontier Vineyards,Elena Mendoza,Frontier Vineyards,Yakima,Grandview,Yakima Valley Utility,Commercial,17584,3345076,137.8,199806,1712.36,46.481041,-120.259986,Site Review Scheduled,Cold,Unassigned,Business List,18,2025-10-05,High,Good ag load profile. Storage could be future upsell.,97.0,0.74,16602.0,3
79,Harvest Metal Works,Ethan Sanchez,Harvest Metal Works,Benton,West Richland,Benton PUD,Commercial,18023,1297534,107.6,155996,1042.61,46.2181,-119.314464,New Lead,Cold,Unassigned,Public Parcel,8,2025-12-21,High,Likely better fit after direct site review.,97.0,0.41,10185.0,3
80,Rachel Sanchez,Rachel Sanchez,,Franklin,Connell,Franklin PUD,Residential,2016,541198,9.7,14014,111.58,46.198639,-118.874383,Qualified,Warm,Unassigned,Public Parcel,25,2026-03-06,Low,Promising commercial consumption profile.,55.7,0.38,1075.0,64
81,Harvest Processing,Anna Diaz,Harvest Processing,Yakima,Yakima,Yakima Valley Utility,Agricultural,24957,2767076,219.0,317573,2620.5,46.767867,-120.761081,Contact Made,Cold,Unassigned,Referral,18,2026-04-17,Medium,Promising commercial consumption profile.,99.0,0.55,22483.0,1
82,Luis Taylor,Luis Taylor,,Adams,Ritzville,Columbia REA,Residential,3941,340018,14.6,21178,207.57,47.150099,-118.390165,New Lead,Cold,Unassigned,Referral,15,2025-11-04,High,High-value roofline and strong bill-reduction angle.,53.9,0.23,1683.0,70
83,Tri-City Auto Center,Daniel Cooper,Tri-City Auto Center,Franklin,Mesa,Franklin PUD,Commercial,11694,3128949,87.7,127103,842.88,46.197983,-119.099289,Lost,Cold,Unassigned,Business List,5,2025-10-07,Low,Likely better fit after direct site review.,97.0,0.03,7485.0,3
84,Rachel Bennett,Rachel Bennett,,Benton,Kennewick,City Utility,Residential,1813,412529,6.0,8728,103.04,46.469288,-119.486151,Qualified,Cold,Unassigned,Campaign,29,2026-04-06,Medium,High-value roofline and strong bill-reduction angle.,36.0,0.24,812.0,94
85,Ethan Rivera,Ethan Rivera,,Benton,Richland,Benton PUD,Residential,4068,306857,16.6,24000,199.63,46.393854,-119.243778,Contact Attempted,Cold,Atlas Admin,Walk-In,28,2025-09-04,Low,Strong ownership profile and above-median assessed value.,52.5,0.25,1369.0,73
86,Ethan Taylor,Ethan Taylor,,Adams,Ritzville,Adams County PUD,Residential,3400,652151,15.8,22964,212.19,47.140204,-118.751045,Lost,Cold,Unassigned,Referral,12,2026-03-12,High,High-value roofline and strong bill-reduction angle.,60.2,0.03,1957.0,50
87,Isabel Rivera,Isabel Rivera,,Walla Walla,Walla Walla,Columbia REA,Residential,1475,345797,6.2,9018,138.77,46.115166,-118.116156,New Lead,Warm,Unassigned,Referral,14,2025-12-13,Medium,Likely better fit after direct site review.,53.0,0.22,1185.0,72
88,Yakima Valley Cold Storage,Jorge Sanchez,Yakima Valley Cold Storage,Adams,Othello,Adams County PUD,Industrial,78321,2754240,810.6,1175437,7393.1,47.115488,-118.69701,Contact Made,Hot,Unassigned,Referral,24,2026-03-13,Medium,Likely better fit after direct site review.,99.0,0.55,60137.0,1
89,Harvest Logistics,Jorge Bennett,Harvest Logistics,Franklin,Connell,Pacific Power,Agricultural,39856,3841789,225.4,326820,2700.65,46.151924,-118.99266,Qualified,Hot,Unassigned,Campaign,2,2025-10-30,High,Promising commercial consumption profile.,99.0,0.67,24865.0,1
90,James Ortiz,James Ortiz,,Grant,Quincy,Grant PUD,Residential,2563,557915,12.5,18191,139.55,47.228794,-119.247498,Lost,Cold,Atlas Sales,Referral,24,2025-10-04,Low,Likely better fit after direct site review.,46.3,0.03,1214.0,84
91,Rachel Ortiz,Rachel Ortiz,,Yakima,Toppenish,Yakima Valley Utility,Residential,4159,732296,15.3,22229,202.6,46.497187,-120.499235,Negotiation,Warm,Atlas Admin,Referral,14,2026-03-01,Low,Likely better fit after direct site review.,78.1,0.69,1884.0,15
92,Elena Mendoza,Elena Mendoza,,Walla Walla,College Place,Columbia REA,Residential,3201,912865,10.9,15858,200.77,46.086883,-118.112398,New Lead,Warm,Unassigned,Public Parcel,3,2026-04-12,High,Strong ownership profile and above-median assessed value.,79.2,0.33,1415.0,13
93,James Lopez,James Lopez,,Adams,Othello,Columbia REA,Residential,3067,631329,13.3,19261,176.35,46.857231,-118.452472,Contact Made,Cold,Atlas Admin,Walk-In,11,2025-10-24,High,High-value roofline and strong bill-reduction angle.,54.2,0.3,1464.0,69
94,Rachel Howard,Rachel Howard,,Franklin,Connell,Pacific Power,Residential,2825,322857,11.7,17022,223.36,46.10405,-119.086843,New Lead,Warm,Unassigned,Walk-In,35,2026-01-13,Low,High-value roofline and strong bill-reduction angle.,67.2,0.28,1935.0,32
95,Maria Bennett,Maria Bennett,,Adams,Ritzville,Adams County PUD,Residential,2556,833343,9.0,13088,160.19,46.830809,-118.560274,Site Review Scheduled,Warm,Atlas Sales,Public Parcel,11,2025-11-03,Medium,High-value roofline and strong bill-reduction angle.,70.3,0.53,1556.0,25
96,Atlas Prospect Processing,Isabel Ortiz,Atlas Prospect Processing,Grant,Quincy,Grant PUD,Agricultural,22613,1742731,143.3,207744,1365.96,46.973544,-119.111341,Proposal Sent,Warm,Atlas Admin,Referral,25,2026-04-01,Medium,High-value roofline and strong bill-reduction angle.,99.0,0.8,11822.0,1
97,Noah Howard,Noah Howard,,Walla Walla,College Place,Pacific Power,Residential,3984,854334,16.6,24000,233.79,46.060466,-118.417978,New Lead,Cold,Atlas Sales,Public Parcel,5,2026-01-18,High,Good ag load profile. Storage could be future upsell.,69.3,0.29,1880.0,28
